Villandi	vill_and	0		S	adt
        	vill_and	0		S	sg p
	£Viljandi	0		H	sg g
kreisi	kreis	0		S	adt
      	@kreis	0		S	sg g
      	kreis	0		S	sg p
Kerstna	####				
	#Kärstna	0		H	sg g
valla	@vald	0		S	sg g
     	valla	0		D	
II	@II	0		O	?
  	II	0		Y	?
Gilde	gild	e		S	pl p
	£gild	0		S	sg g
kaupmees	kaup_mees	0		S	sg n
Peter	Peter	0		H	sg n
Kubbu	####				
	#Kubbu	0		H	sg n
kaebas	kaeba	s		V	s
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
Tartust	Tartu	st		H	sg el
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
kaks	kaks	0		N	sg n
väikest	väike	t		A	sg p
       	@väikene	t		A	sg p
venda	vend	0		S	adt
     	@vend	0		S	sg p
koolist	kool	st		S	sg el
kodu	kodu	0		S	sg g
    	kodu	0		S	sg n
    	kodu	0		S	sg p
	£kodu	0		S	sg ill
toomast	too	mast		V	mast
ja	ja	0		J	
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
õhtu	õhtu	0		S	sg g
    	õhtu	0		S	sg n
	£õhtu	0		S	sg g
kel	kes	l		P	sg ad
	£kell	0		S	sg n
.	.			Z	
8	8	0		N	?
ajal	@aeg	l		S	sg ad
    	ajal	0		K	
Vastse	vastne	0		A	sg g
      	vastne	0		S	sg g
	£Vastse	0		H	sg g
Nõo	@Nõo	0		H	sg g
   	nõbu	0		S	sg g
   	nõgu	0		S	sg g
   	Nõo	0		H	sg n
pooti	####				
	#pood	0		S	sg ill
ostnud	@ost	nud		V	nud
      	ost=nu	d		S	pl n
      	ost=nud	0		A	
      	ost=nud	0		A	sg n
      	ost=nud	d		A	pl n
säält	####				
	#sealt	0		D	
ühe	üks	0		N	sg g
   	@üks	0		P	sg g
   	ühe	0		S	sg n
looga	lood	ga		S	sg kom
     	loog	ga		S	sg kom
     	@look	0		S	sg g
     	lugu	ga		S	sg kom
rõnga	rõngas	0		S	sg g
ja	ja	0		J	
pannud	pan=nu	d		S	pl n
      	pan=nud	0		A	
      	pan=nud	0		A	sg n
      	pan=nud	d		A	pl n
      	@pane	nud		V	nud
seda	see	da		P	sg p
loogale	look	le		S	sg all
sisse	siss	e		S	pl p
     	@sisse	0		D	
     	sisse	0		K	
.	.			Z	
Siis	@siis	0		D	
    	siis	0		J	
on	@ole	0		V	b
  	ole	0		V	vad
kaupmehe	kaup_mees	0		S	sg g
vend	vend	0		S	sg n
Karl	Karl	0		H	sg n
Sass	Sass	0		H	sg n
temale	tema	le		P	sg all
kaupa	kaup	0		S	adt
     	@kaup	0		S	sg p
     	kaupa	0		K	
müüa	müü	a		V	da
paknud	####				
	#pakku	nud		V	nud
ja	ja	0		J	
nõudnud	@nõud	nud		V	nud
       	nõud=nu	d		S	pl n
       	nõud=nud	0		A	
       	nõud=nud	0		A	sg n
       	nõud=nud	d		A	pl n
,	,			Z	
kui	@kui	0		D	
   	kui	0		J	
paljo	####				
	#palju	0		D	
sul	sina	l		P	sg ad
raha	raha	0		S	sg g
    	raha	0		S	sg n
    	@raha	0		S	sg p
on	@ole	0		V	b
  	ole	0		V	vad
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
kaupa	kaup	0		S	adt
     	@kaup	0		S	sg p
     	kaupa	0		K	
ei	ei	0		D	
  	@ei	0		V	neg
ostnud	@ost	nud		V	nud
      	ost=nu	d		S	pl n
      	ost=nud	0		A	
      	ost=nud	0		A	sg n
      	ost=nud	d		A	pl n
,	,			Z	
siis	siis	0		D	
    	@siis	0		J	
on	@ole	0		V	b
  	ole	0		V	vad
Karl	Karl	0		H	sg n
Sass	Sass	0		H	sg n
teda	tema	da		P	sg p
peksma	peks	ma		V	ma
hakkanud	####				
	#hakka	nud		V	nud
ja	ja	0		J	
kaupmees	kaup_mees	0		S	sg n
Aleksander	Aleksander	0		H	sg n
Sass	Sass	0		H	sg n
on	@ole	0		V	b
  	ole	0		V	vad
poodist	####				
	#pood	st		S	sg el
ära	@ära	0		D	
   	ära	0		V	neg o
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
ja	ja	0		J	
mitte	mitte	0		D	
peksmist	peksmine	t		S	sg p
keelnud	####				
	#keela	nud		V	nud
;)	;)			Z	
Tema	tema	0		P	sg g
    	@tema	0		P	sg n
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
siis	@siis	0		D	
    	siis	0		J	
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
Karl	Karl	0		H	sg n
Sass	Sass	0		H	sg n
ja	ja	0		J	
poodi	poo	di		V	ti
     	pood	0		S	adt
     	pood	0		S	sg p
	£pood	0		S	sg g
sell	sell	0		S	sg n
Andres	Andre	s		H	sg in
      	@Andres	0		H	sg n
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
järele	@järele	0		D	
      	järele	0		K	
ja	ja	0		J	
peksnud	@peks	nud		V	nud
       	peks=nu	d		S	pl n
       	peks=nud	0		A	
       	peks=nud	0		A	sg n
       	peks=nud	d		A	pl n
teda	tema	da		P	sg p
väega	vägi	ga		S	sg kom
	£väga	0		D	
paljo	####				
	#palju	0		D	
,	,			Z	
ja	ja	0		J	
augud	auk	d		S	pl n
pää	####				
	#pea	0		S	sg g
sisse	siss	e		S	pl p
     	sisse	0		D	
     	@sisse	0		K	
nii	nii	0		D	
et	et	0		J	
ta	tema	0		P	sg g
  	@tema	0		P	sg n
verine	verine	0		A	sg n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,-	,-			Z	
ning	ning	0		J	
looga	lood	ga		S	sg kom
     	loog	ga		S	sg kom
     	@look	0		S	sg g
     	lugu	ga		S	sg kom
kell	kell	0		S	sg n
võetud	võe=tu	d		S	pl n
      	võetud	0		A	
      	võetud	0		A	sg n
      	võetud	d		A	pl n
      	@võt	tud		V	tud
ära	@ära	0		D	
   	ära	0		V	neg o
.	.			Z	
Vana	vana	0		A	sg g
    	vana	0		A	sg n
    	vana	0		A	sg p
    	vana	0		S	sg g
    	vana	0		S	sg n
    	vana	0		S	sg p
	£Vana	0		H	sg g
